trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
197,False,"{'a': 0.4, 'e': 0.2119999999999993}",25,11,7.793790676775156,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.4, 'e': 0.2079999999999993}",25,5,3.9708620590685477,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
199,False,"{'a': 0.4, 'e': 0.2039999999999993}",20,12,-18.11138519942798,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
200,False,"{'a': 0.4, 'e': 0.1999999999999993}",20,5,8.258840337836205,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
201,False,"{'a': 0.4, 'e': 0.19599999999999929}",20,0,14.885119365228055,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
202,False,"{'a': 0.4, 'e': 0.19199999999999928}",20,0,11.591153504810615,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
203,False,"{'a': 0.4, 'e': 0.18799999999999928}",20,6,12.072561702361213,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.4, 'e': 0.18399999999999928}",20,2,28.43524951446162,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.4, 'e': 0.17999999999999927}",20,0,29.71154344844824,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
206,False,"{'a': 0.4, 'e': 0.17599999999999927}",20,0,17.79273440558027,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
207,False,"{'a': 0.4, 'e': 0.17199999999999926}",20,3,-3.2186749799423833,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
208,False,"{'a': 0.4, 'e': 0.16799999999999926}",25,15,5.687543229100694,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.4, 'e': 0.16399999999999926}",25,9,21.981872507167257,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.4, 'e': 0.15999999999999925}",25,17,-5.93839487370742,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
211,False,"{'a': 0.4, 'e': 0.15599999999999925}",20,10,18.653738725219874,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.4, 'e': 0.15199999999999925}",20,15,11.89852203833269,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.4, 'e': 0.14799999999999924}",20,14,9.345131634980763,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.4, 'e': 0.14399999999999924}",25,3,-20.348027062873562,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
215,False,"{'a': 0.4, 'e': 0.13999999999999924}",20,15,5.651637590408179,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.4, 'e': 0.13599999999999923}",20,2,27.711244903460532,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.4, 'e': 0.13199999999999923}",25,3,-10.899764155981925,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.4, 'e': 0.12799999999999923}",20,6,19.368116563673475,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.4, 'e': 0.12399999999999922}",20,5,25.494868838788562,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.4, 'e': 0.11999999999999922}",25,11,25.274880045658954,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.4, 'e': 0.11599999999999921}",25,20,12.121149117176136,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
222,False,"{'a': 0.4, 'e': 0.11199999999999921}",30,13,16.160239126489977,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
223,False,"{'a': 0.4, 'e': 0.10799999999999921}",30,0,24.105701640407958,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",1
224,False,"{'a': 0.4, 'e': 0.1039999999999992}",20,0,29.526535820640397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
225,False,"{'a': 0.4, 'e': 0.0999999999999992}",25,11,23.265044864081236,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
226,False,"{'a': 0.4, 'e': 0.0959999999999992}",20,2,-22.02306320886964,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
227,False,"{'a': 0.4, 'e': 0.0919999999999992}",25,0,26.542932799922017,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
228,False,"{'a': 0.4, 'e': 0.08799999999999919}",30,8,-20.73049603038546,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
229,False,"{'a': 0.4, 'e': 0.08399999999999919}",30,10,19.55325475286342,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.4, 'e': 0.07999999999999918}",25,15,16.958277069666142,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.4, 'e': 0.07599999999999918}",30,14,6.633402524711121,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 0}",1
232,False,"{'a': 0.4, 'e': 0.07199999999999918}",20,8,16.113569559181915,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.4, 'e': 0.06799999999999917}",20,9,19.636224072379505,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.4, 'e': 0.06399999999999917}",30,13,-9.031459823477116,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
235,False,"{'a': 0.4, 'e': 0.059999999999999165}",25,15,18.07005270889575,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.4, 'e': 0.05599999999999916}",25,8,18.670498028687106,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.4, 'e': 0.05199999999999916}",25,11,11.176964478142695,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
238,False,"{'a': 0.4, 'e': 0.047999999999999154}",20,10,17.268822696340713,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.4, 'e': 0.04399999999999915}",20,8,21.961421223193447,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.4, 'e': 0.03999999999999915}",25,0,29.36667397233327,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
241,False,"{'a': 0.4, 'e': 0.035999999999999144}",25,16,19.505134999493954,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.4, 'e': 0.03199999999999914}",30,19,7.146978045153628,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
243,False,"{'a': 0.4, 'e': 0.02799999999999914}",30,7,36.09179105436481,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
244,False,"{'a': 0.4, 'e': 0.02399999999999914}",20,6,19.373290880676993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.4, 'e': 0.01999999999999914}",20,15,9.258892985367385,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.4, 'e': 0.01599999999999914}",20,10,16.40871305603174,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.4, 'e': 0.01199999999999914}",30,8,34.95380431797304,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.4, 'e': 0.00799999999999914}",20,10,18.06358650019986,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
249,False,"{'a': 0.4, 'e': 0.00399999999999914}",30,21,18.824866234785766,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
250,False,"{'a': 0.4, 'e': -8.604228440844963e-16}",30,22,16.671163214373745,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,10,21.486173500837005,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,19,11.537772201908634,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
