trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
229,False,"{'a': 0.5, 'e': 0.08399999999999919}",25,17,-0.13471588074233742,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.07999999999999918}",20,14,10.439307068855198,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 0.5, 'e': 0.07599999999999918}",20,16,7.138865547379355,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.07199999999999918}",25,10,15.81808256215599,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.06799999999999917}",20,0,17.274438479854787,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
234,False,"{'a': 0.5, 'e': 0.06399999999999917}",20,6,25.40309320997683,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.059999999999999165}",25,16,17.60652254891245,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.05599999999999916}",20,14,-0.6674231100318562,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.05199999999999916}",25,19,13.54920758747589,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.047999999999999154}",20,10,19.15095949431556,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.04399999999999915}",25,3,39.100465985300026,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.5, 'e': 0.03999999999999915}",25,15,18.077114950460924,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.5, 'e': 0.035999999999999144}",20,11,17.045240403152615,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.5, 'e': 0.03199999999999914}",25,20,9.128873292606762,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.5, 'e': 0.02799999999999914}",25,0,27.201697294281104,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
244,False,"{'a': 0.5, 'e': 0.02399999999999914}",20,11,17.53739050625872,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
245,False,"{'a': 0.5, 'e': 0.01999999999999914}",30,21,18.970237377131337,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
246,False,"{'a': 0.5, 'e': 0.01599999999999914}",20,14,11.275803069266367,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
247,False,"{'a': 0.5, 'e': 0.01199999999999914}",20,13,15.360827672266216,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
